task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
binary,2,RF,BBA,0.05,0.8238993710691824,0.822307613454469,0.4530922431865828,0.42183073248849945,0.3708071278825996,0.24487938097405554,0.24487938097405554,0.8818134171907757,2,263,,,,170.0,280.0,200.0,, (1hours)
binary,2,RF,DBA-style,0.05,0.8238993710691824,0.822307613454469,0.764937106918239,0.7633212562554091,0.05896226415094341,0.05598543468365953,0.05598543468365953,0.8818134171907757,2,263,,,,,,,175.0, (1hours)
binary,2,RF,FGSM-SNN,0.1,0.8238993710691824,0.822307613454469,0.615041928721174,0.5190687259185452,0.2088574423480084,0.05826126536185708,0.05826126536185708,0.8818134171907757,2,263,,,,,,,, (1hours)
binary,2,RF,PGD-10-SNN,0.1,0.8238993710691824,0.822307613454469,0.5285639412997903,0.45522149151607144,0.2953354297693921,0.14747382794720074,0.14747382794720074,0.8818134171907757,2,263,10.0,10.0,0.03,,,,, (1hours)
binary,2,RF,PGD-20-SNN,0.1,0.8238993710691824,0.822307613454469,0.5136268343815513,0.446582734334993,0.3102725366876311,0.16841147018661812,0.16841147018661812,0.8818134171907757,2,263,20.0,19.0,0.015789473684210527,,,,, (1hours)
binary,2,RF,BBA,0.1,0.8238993710691824,0.822307613454469,0.4481132075471698,0.41420315585731277,0.3757861635220126,0.24396904870277653,0.24396904870277653,0.8818134171907757,2,263,,,,170.0,280.0,200.0,, (1hours)
binary,2,RF,DBA-style,0.1,0.8238993710691824,0.822307613454469,0.764412997903564,0.7626979535713884,0.059486373165618445,0.055530268548020026,0.055530268548020026,0.8818134171907757,2,263,,,,,,,175.0, (1hours)
binary,2,RF,FGSM-SNN,0.2,0.8238993710691824,0.822307613454469,0.6108490566037735,0.5053038931215027,0.2130503144654089,0.05598543468365953,0.05598543468365953,0.8818134171907757,2,263,,,,,,,, (1hours)
binary,2,RF,PGD-10-SNN,0.2,0.8238993710691824,0.822307613454469,0.4937106918238994,0.43150067682930715,0.33018867924528306,0.1939007737824306,0.1939007737824306,0.8818134171907757,2,263,10.0,10.0,0.03,,,,, (1hours)
binary,2,RF,PGD-20-SNN,0.2,0.8238993710691824,0.822307613454469,0.48977987421383645,0.43001578744161456,0.334119496855346,0.20163859808830223,0.20163859808830223,0.8818134171907757,2,263,20.0,19.0,0.015789473684210527,,,,, (1hours)
binary,2,RF,BBA,0.2,0.8238993710691824,0.822307613454469,0.4420859538784067,0.3994278325792183,0.3818134171907757,0.2321347291761493,0.2321347291761493,0.8818134171907757,2,263,,,,170.0,280.0,200.0,, (1hours)
binary,2,RF,DBA-style,0.2,0.8238993710691824,0.822307613454469,0.7638888888888888,0.7621218540962684,0.06001048218029359,0.055530268548020026,0.055530268548020026,0.8818134171907757,2,263,,,,,,,175.0, (1hours)
binary,2,RF,FGSM-SNN,0.3,0.8238993710691824,0.822307613454469,0.6187106918238994,0.5091325210758831,0.20518867924528306,0.050523441055985434,0.050523441055985434,0.8818134171907757,2,263,,,,,,,, (1hours)
binary,2,RF,PGD-10-SNN,0.3,0.8238993710691824,0.822307613454469,0.5162473794549266,0.44453281682232676,0.3076519916142558,0.1665908056440601,0.1665908056440601,0.8818134171907757,2,263,10.0,10.0,0.03,,,,, (1hours)
binary,2,RF,PGD-20-SNN,0.3,0.8238993710691824,0.822307613454469,0.5089098532494759,0.4403319109976568,0.3149895178197065,0.17614929449248976,0.17614929449248976,0.8818134171907757,2,263,20.0,19.0,0.015789473684210527,,,,, (1hours)
binary,2,RF,BBA,0.3,0.8238993710691824,0.822307613454469,0.4942348008385744,0.4309602647789183,0.329664570230608,0.14155666818388712,0.14155666818388712,0.8818134171907757,2,263,,,,170.0,280.0,200.0,, (1hours)
binary,2,RF,DBA-style,0.3,0.8238993710691824,0.822307613454469,0.7633647798742138,0.7615453577878069,0.06053459119496862,0.055530268548020026,0.055530268548020026,0.8818134171907757,2,263,,,,,,,175.0, (1hours)
