task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,DT,PGD-20-SNN,transfer,BBA,0.1,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.004454926624737945,0.005778736023531716,0.9920262664165104,0.9920262664165104,0.6787211740041929,0.6771184293439193,0.12669471715755026,0.12669471715755026,0.674266247379455,0.004454926624737945,0.9920262664165104,0.9920262664165104,,,,80.0,160.0,115.0,
binary,1,DT,PGD-20-SNN,transfer,DBA-style,0.1,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.16457023060796647,0.15480453967737828,0.8836772983114447,0.8836772983114447,0.8267819706498952,0.8287849436525819,0.029920523609163162,0.029920523609163162,0.6622117400419287,0.16457023060796647,0.8836772983114447,0.8836772983114447,,,,,,,105.0
binary,1,DT,PGD-20-SNN,transfer,FGSM-SNN,0.2,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.3149895178197065,0.3228128052040447,0.7387429643527205,0.7387429643527205,0.7476415094339622,0.7009059315144834,0.005142589995324918,0.005142589995324918,0.4326519916142557,0.3149895178197065,0.7387429643527205,0.7387429643527205,,,,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.2,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.4944968553459119,0.4352852870954671,0.275328330206379,0.275328330206379,0.8563941299790356,0.8450157589131667,0.0004675081813931744,0.0004675081813931744,0.3618972746331237,0.4944968553459119,0.275328330206379,0.275328330206379,10.0,3.0,0.06666666666666667,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.2,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.4620020964360587,0.4166655612712442,0.3348968105065666,0.3348968105065666,0.859538784067086,0.8490645439133495,0.0018700327255726976,0.0018700327255726976,0.39753668763102723,0.4620020964360587,0.3348968105065666,0.3348968105065666,20.0,9.5,0.021052631578947368,,,,
binary,1,DT,PGD-20-SNN,transfer,BBA,0.2,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.0005241090146750524,0.0006825222684558305,0.99906191369606,0.99906191369606,0.720125786163522,0.7222055284638018,0.12388966806919122,0.12388966806919122,0.7196016771488469,0.0005241090146750524,0.99906191369606,0.99906191369606,,,,80.0,160.0,115.0,
binary,1,DT,PGD-20-SNN,transfer,DBA-style,0.2,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.1160901467505241,0.11820721140431602,0.8888367729831145,0.8888367729831145,0.8294025157232704,0.8312068110785209,0.023842917251051893,0.023842917251051893,0.7133123689727463,0.1160901467505241,0.8888367729831145,0.8888367729831145,,,,,,,105.0
binary,1,DT,PGD-20-SNN,transfer,FGSM-SNN,0.3,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.31446540880503143,0.3220598784531579,0.7410881801125704,0.7410881801125704,0.9934486373165619,0.9934593033923853,0.004675081813931743,0.004675081813931743,0.6789832285115305,0.31446540880503143,0.7410881801125704,0.7410881801125704,,,,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.3,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.6215932914046122,0.5053830634660208,0.05675422138836773,0.05675422138836773,0.999475890985325,0.9994759824162248,0.0004675081813931744,0.0004675081813931744,0.3778825995807128,0.6215932914046122,0.05675422138836773,0.05675422138836773,10.0,3.0,0.09999999999999999,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.3,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.6158280922431866,0.5028095698537205,0.0675422138836773,0.0675422138836773,0.999475890985325,0.9994757991733294,0.0,0.0,0.3836477987421384,0.6158280922431866,0.0675422138836773,0.0675422138836773,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,PGD-20-SNN,transfer,BBA,0.3,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.0005241090146750524,0.0006825222684558305,0.99906191369606,0.99906191369606,0.7138364779874213,0.7159629560697301,0.12996727442730246,0.12996727442730246,0.7133123689727463,0.0005241090146750524,0.99906191369606,0.99906191369606,,,,80.0,160.0,115.0,
binary,1,DT,PGD-20-SNN,transfer,DBA-style,0.3,0.8587526205450734,0.8604865791382629,0.8477463312368972,0.84907811510392,0.011006289308176154,0.8807651991614256,0.8626834381551363,0.3,22896,2,716,0.11320754716981132,0.11579500764593231,0.8897748592870544,0.8897748592870544,0.8288784067085954,0.8306882452139388,0.02431042543244507,0.02431042543244507,0.7156708595387841,0.11320754716981132,0.8897748592870544,0.8897748592870544,,,,,,,105.0
binary,1,DT,Mixed,transfer,FGSM-SNN,0.05,0.8587526205450734,0.8604865791382629,0.8073899371069182,0.7989756337779382,0.0513626834381552,0.8807651991614256,0.9179769392033543,0.3,57240,2,716,0.34591194968553457,0.3612329310442518,0.6060037523452158,0.6060037523452158,0.6776729559748428,0.5825073473035985,0.013066202090592335,0.013066202090592335,0.3317610062893082,0.34591194968553457,0.6060037523452158,0.6060037523452158,,,,,,,
