task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,LightGBM,PGD-20-SNN,transfer,DBA-style,0.2,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.7811844863731656,0.8782101677148847,0.09702568134171907,0.07881012583858259,0.032727226165722385,0.07881012583858259,0.032727226165722385,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,DBA-style,0.3,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.7790225366876311,0.8770309224318658,0.09800838574423476,0.08039421032878258,0.03420677630449066,0.08039421032878258,0.03420677630449066,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.23257337526205452,0.9973794549266247,0.7648060796645703,0.7507468387499582,0.00010584250635055038,0.7507468387499582,0.00010584250635055038,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.13463050314465408,0.9999344863731656,0.8653039832285115,0.8841152871740864,0.0,0.8841152871740864,0.0,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,FGSM-SNN,0.2,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.11477987421383648,0.9999344863731656,0.8851546121593291,0.898943030804324,0.0,0.898943030804324,0.0,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,FGSM-SNN,0.3,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.09846698113207547,0.9999344863731656,0.9014675052410901,0.9125940670186794,0.0,0.9125940670186794,0.0,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.2762054507337526,0.9960036687631028,0.7197982180293501,0.6349932408272656,0.0003175275190516511,0.6349932408272656,0.0003175275190516511,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.21462264150943397,0.9998689727463312,0.7852463312368974,0.7023168773684452,0.00021057648205226803,0.7023168773684452,0.00021057648205226803,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,PGD-10-SNN,0.2,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.28046383647798745,0.9996724318658281,0.7192085953878407,0.5804486028970707,0.000420439821786792,0.5804486028970707,0.000420439821786792,0.9219732704402516,0.9178459119496856,716.0
binary,LightGBM,PGD-20-SNN,transfer,PGD-10-SNN,0.3,0.9475235849056604,0.9449685534591195,0.0025550314465409008,0.29422169811320753,0.9996724318658281,0.7054507337526206,0.5502534701691023,0.0005271272665654492,0.5502534701691023,0.0005271272665654492,0.9219732704402516,0.9178459119496856,716.0
