task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi_targeted_non_malicious,2,LightGBM,DBA-style-targeted-benign,0.2,3,0.8922955974842768,0.8919455871775123,0.6601153039832285,0.6502547970229072,0.2321802935010483,0.39873987398739874,0.8831236897274634,6,716,2222,,,,,,,35.0, (14.0days)
multi_targeted_non_malicious,2,LightGBM,FGSM-SNN-targeted-benign,0.3,3,0.8922955974842768,0.8919455871775123,0.5471698113207547,0.46489343933796423,0.3451257861635221,0.15751575157515751,0.8831236897274634,6,716,2222,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-10-SNN-targeted-benign,0.3,3,0.8922955974842768,0.8919455871775123,0.5736373165618449,0.5231271283163448,0.31865828092243187,0.09900990099009901,0.8831236897274634,6,716,2222,10.0,3.0,0.1,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,PGD-20-SNN-targeted-benign,0.3,3,0.8922955974842768,0.8919455871775123,0.5655136268343816,0.5064314944181372,0.3267819706498952,0.09225922592259225,0.8831236897274634,6,716,2222,20.0,17.0,0.01764705882352941,,,,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,BBA-targeted-benign,0.3,3,0.8922955974842768,0.8919455871775123,0.31839622641509435,0.18176948873534202,0.5738993710691824,0.9855985598559855,0.8831236897274634,6,716,2222,,,,200.0,130.0,120.0,, (14.0days)
multi_targeted_non_malicious,2,LightGBM,DBA-style-targeted-benign,0.3,3,0.8922955974842768,0.8919455871775123,0.6580188679245284,0.6481087554462339,0.23427672955974843,0.40234023402340235,0.8831236897274634,6,716,2222,,,,,,,35.0, (14.0days)
multi_targeted_non_malicious,3,RF,FGSM-SNN-targeted-benign,0.05,3,0.8833857442348009,0.8831447646256946,0.5694444444444444,0.507360831855793,0.31394129979035645,0.2180922525750112,0.8658280922431866,6,716,2233,,,,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,PGD-10-SNN-targeted-benign,0.05,3,0.8833857442348009,0.8831447646256946,0.5738993710691824,0.5062668235171526,0.30948637316561844,0.26108374384236455,0.8658280922431866,6,716,2233,10.0,10.0,0.03,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,PGD-20-SNN-targeted-benign,0.05,3,0.8833857442348009,0.8831447646256946,0.5707547169811321,0.5019096200740648,0.31263102725366876,0.2619793999104344,0.8658280922431866,6,716,2233,20.0,19.0,0.015789473684210527,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,BBA-targeted-benign,0.05,3,0.8833857442348009,0.8831447646256946,0.7513102725366876,0.7447757801489405,0.1320754716981133,0.22570532915360503,0.8658280922431866,6,716,2233,,,,170.0,280.0,200.0,, (14.0days)
multi_targeted_non_malicious,3,RF,DBA-style-targeted-benign,0.05,3,0.8833857442348009,0.8831447646256946,0.8668763102725366,0.866484589368013,0.01650943396226423,0.02821316614420063,0.8658280922431866,6,716,2233,,,,,,,175.0, (14.0days)
multi_targeted_non_malicious,3,RF,FGSM-SNN-targeted-benign,0.1,3,0.8833857442348009,0.8831447646256946,0.5704926624737946,0.48798039951040373,0.3128930817610063,0.26153157187639947,0.8658280922431866,6,716,2233,,,,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,PGD-10-SNN-targeted-benign,0.1,3,0.8833857442348009,0.8831447646256946,0.57520964360587,0.4954865975681037,0.30817610062893086,0.2942230183609494,0.8658280922431866,6,716,2233,10.0,10.0,0.03,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,PGD-20-SNN-targeted-benign,0.1,3,0.8833857442348009,0.8831447646256946,0.5736373165618449,0.49380364669450283,0.30974842767295596,0.29646215853112406,0.8658280922431866,6,716,2233,20.0,19.0,0.015789473684210527,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,BBA-targeted-benign,0.1,3,0.8833857442348009,0.8831447646256946,0.6983752620545073,0.6984885537738086,0.1850104821802936,0.316166592028661,0.8658280922431866,6,716,2233,,,,170.0,280.0,200.0,, (14.0days)
multi_targeted_non_malicious,3,RF,DBA-style-targeted-benign,0.1,3,0.8833857442348009,0.8831447646256946,0.8666142557651991,0.866218330605425,0.016771488469601747,0.028660994178235557,0.8658280922431866,6,716,2233,,,,,,,175.0, (14.0days)
multi_targeted_non_malicious,3,RF,FGSM-SNN-targeted-benign,0.2,3,0.8833857442348009,0.8831447646256946,0.5749475890985325,0.47743008655737745,0.3084381551362684,0.20017913121361397,0.8658280922431866,6,716,2233,,,,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,PGD-10-SNN-targeted-benign,0.2,3,0.8833857442348009,0.8831447646256946,0.5864779874213837,0.5071589774222287,0.2969077568134172,0.23018360949395433,0.8658280922431866,6,716,2233,10.0,10.0,0.03,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,PGD-20-SNN-targeted-benign,0.2,3,0.8833857442348009,0.8831447646256946,0.5880503144654088,0.5090979519640758,0.2953354297693921,0.22928795342588446,0.8658280922431866,6,716,2233,20.0,19.0,0.015789473684210527,,,,, (14.0days)
multi_targeted_non_malicious,3,RF,BBA-targeted-benign,0.2,3,0.8833857442348009,0.8831447646256946,0.5906708595387841,0.5810523722502623,0.2927148846960168,0.5002239140170175,0.8658280922431866,6,716,2233,,,,170.0,280.0,200.0,, (14.0days)
multi_targeted_non_malicious,3,RF,DBA-style-targeted-benign,0.2,3,0.8833857442348009,0.8831447646256946,0.8653039832285115,0.8649047010057714,0.018081761006289332,0.03090013434841021,0.8658280922431866,6,716,2233,,,,,,,175.0, (14.0days)
multi_targeted_non_malicious,3,RF,FGSM-SNN-targeted-benign,0.3,3,0.8833857442348009,0.8831447646256946,0.5759958071278826,0.47789746181759074,0.3073899371069183,0.1509180474697716,0.8658280922431866,6,716,2233,,,,,,,, (14.0days)
