task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features,time_window
binary,DT,BBA,0.1,0.8649109014675053,0.8653926543063587,0.056931341719077565,0.06890975890632986,0.8079795597484276,0.90215686007538,0.90215686007538,0.8929507337526206,716.0, (30.0days)
binary,DT,BBA,0.2,0.8649109014675053,0.8653926543063587,0.031053459119496855,0.03863311844535756,0.8338574423480084,0.9464102760216292,0.9464102760216292,0.8929507337526206,716.0, (30.0days)
binary,DT,BBA,0.3,0.8649109014675053,0.8653926543063587,0.030070754716981132,0.037442861068411465,0.8348401467505241,0.9479911297308281,0.9479911297308281,0.8929507337526206,716.0, (30.0days)
binary,DT,DBA-style,0.05,0.8649109014675053,0.8653926543063587,0.26401991614255765,0.2761387806854747,0.6008909853249476,0.6473703330157561,0.6473703330157561,0.8929507337526206,716.0, (30.0days)
binary,DT,DBA-style,0.1,0.8649109014675053,0.8653926543063587,0.2148191823899371,0.22823869208010206,0.6500917190775681,0.7291710581756582,0.7291710581756582,0.8929507337526206,716.0, (30.0days)
binary,DT,DBA-style,0.2,0.8649109014675053,0.8653926543063587,0.18468291404612158,0.19683185580607948,0.6802279874213837,0.7762044353521742,0.7762044353521742,0.8929507337526206,716.0, (30.0days)
binary,DT,DBA-style,0.3,0.8649109014675053,0.8653926543063587,0.17354559748427673,0.18692230760992268,0.6913653039832285,0.7801683460203924,0.7801683460203924,0.8929507337526206,716.0, (30.0days)
binary,DT,FGSM-SNN,0.05,0.8649109014675053,0.8653926543063587,0.5256158280922432,0.5302605061013672,0.33929507337526205,0.3928932507088332,0.3928932507088332,0.8929507337526206,716.0, (30.0days)
binary,DT,FGSM-SNN,0.1,0.8649109014675053,0.8653926543063587,0.45355083857442346,0.4617789734802866,0.41136006289308175,0.5100040116729311,0.5100040116729311,0.8929507337526206,716.0, (30.0days)
binary,DT,FGSM-SNN,0.2,0.8649109014675053,0.8653926543063587,0.49056603773584906,0.48038551213934444,0.3743448637316562,0.46697086193509224,0.46697086193509224,0.8929507337526206,716.0, (30.0days)
binary,DT,FGSM-SNN,0.3,0.8649109014675053,0.8653926543063587,0.49757599580712786,0.48812361589430525,0.36733490566037735,0.46169631051679655,0.46169631051679655,0.8929507337526206,716.0, (30.0days)
binary,DT,PGD-10-SNN,0.05,0.8649109014675053,0.8653926543063587,0.5581105870020964,0.5631171881230133,0.3068003144654088,0.3660764048450571,0.3660764048450571,0.8929507337526206,716.0, (30.0days)
binary,DT,PGD-10-SNN,0.1,0.8649109014675053,0.8653926543063587,0.45643343815513626,0.46411378985045715,0.40847746331236895,0.470670534635816,0.470670534635816,0.8929507337526206,716.0, (30.0days)
binary,DT,PGD-10-SNN,0.2,0.8649109014675053,0.8653926543063587,0.44116876310272535,0.4370819545314008,0.4237421383647799,0.527862766883319,0.527862766883319,0.8929507337526206,716.0, (30.0days)
