task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
multi,1,LightGBM,PGD-10-SNN,0.05,0.6134696016771488,0.508609366109691,0.514937106918239,0.42188378751689315,0.0985324947589098,0.1615180935569285,0.061341571050308914,0.8713312368972747,6,453
multi,1,LightGBM,PGD-20-SNN,0.05,0.6134696016771488,0.508609366109691,0.5120545073375262,0.4192504826915479,0.10141509433962259,0.1650485436893204,0.06398940864960283,0.8713312368972747,6,453
multi,1,LightGBM,BBA,0.05,0.6134696016771488,0.508609366109691,0.3710691823899371,0.25810680526738927,0.24240041928721173,0.39055604589585174,0.12488967343336276,0.8713312368972747,6,453
multi,1,LightGBM,DBA-style,0.05,0.6134696016771488,0.508609366109691,0.5138888888888888,0.41666632551074023,0.09958071278825997,0.1650485436893204,0.047219770520741396,0.8713312368972747,6,453
multi,1,LightGBM,FGSM-SNN,0.1,0.6134696016771488,0.508609366109691,0.6134696016771488,0.508609366109691,0.0,0.0,0.0,0.8713312368972747,6,453
multi,1,LightGBM,PGD-10-SNN,0.1,0.6134696016771488,0.508609366109691,0.41273584905660377,0.3181720801905193,0.20073375262054505,0.3296557811120918,0.18005295675198588,0.8713312368972747,6,453
multi,1,LightGBM,PGD-20-SNN,0.1,0.6134696016771488,0.508609366109691,0.41745283018867924,0.3215824392320726,0.19601677148846958,0.323477493380406,0.17563989408649602,0.8713312368972747,6,453
multi,1,LightGBM,BBA,0.1,0.6134696016771488,0.508609366109691,0.33228511530398325,0.20276821305790035,0.28118448637316557,0.4470432480141218,0.1557811120917917,0.8713312368972747,6,453
multi,1,LightGBM,DBA-style,0.1,0.6134696016771488,0.508609366109691,0.45676100628930816,0.33386293549480506,0.15670859538784065,0.2612533097969991,0.00794351279788173,0.8713312368972747,6,453
multi,1,LightGBM,FGSM-SNN,0.2,0.6134696016771488,0.508609366109691,0.6134696016771488,0.508609366109691,0.0,0.0,0.0,0.8713312368972747,6,453
multi,1,LightGBM,PGD-10-SNN,0.2,0.6134696016771488,0.508609366109691,0.3608490566037736,0.24199612655280756,0.2526205450733752,0.4152691968225949,0.23786407766990292,0.8713312368972747,6,453
multi,1,LightGBM,PGD-20-SNN,0.2,0.6134696016771488,0.508609366109691,0.36215932914046123,0.2440853253954201,0.2513102725366876,0.411738746690203,0.2418358340688438,0.8713312368972747,6,453
multi,1,LightGBM,BBA,0.2,0.6134696016771488,0.508609366109691,0.3270440251572327,0.18935784845655387,0.2864255765199161,0.4496910856134157,0.18314210061782876,0.8713312368972747,6,453
multi,1,LightGBM,DBA-style,0.2,0.6134696016771488,0.508609366109691,0.45151991614255765,0.32570576524838996,0.16194968553459116,0.26919682259488087,0.007502206531332745,0.8713312368972747,6,453
multi,1,LightGBM,FGSM-SNN,0.3,0.6134696016771488,0.508609366109691,0.6134696016771488,0.508609366109691,0.0,0.0,0.0,0.8713312368972747,6,453
multi,1,LightGBM,PGD-10-SNN,0.3,0.6134696016771488,0.508609366109691,0.3466981132075472,0.21527435181982482,0.26677148846960164,0.43601059135039716,0.21977052074139453,0.8713312368972747,6,453
multi,1,LightGBM,PGD-20-SNN,0.3,0.6134696016771488,0.508609366109691,0.345125786163522,0.21174237050300077,0.2683438155136268,0.43424536628420124,0.235216240070609,0.8713312368972747,6,453
multi,1,LightGBM,BBA,0.3,0.6134696016771488,0.508609366109691,0.32651991614255765,0.18448979796858955,0.28694968553459116,0.4501323918799647,0.1646072374227714,0.8713312368972747,6,453
multi,1,LightGBM,DBA-style,0.3,0.6134696016771488,0.508609366109691,0.45151991614255765,0.32642073737821237,0.16194968553459116,0.26919682259488087,0.00617828773168579,0.8713312368972747,6,453
multi,2,RF,FGSM-SNN,0.05,0.6113731656184487,0.5103361933489069,0.45151991614255765,0.35320476042837223,0.15985324947589102,0.2639322336156933,0.1930450289790459,0.9106394129979035,6,453
